narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_102_0,P01,P01_102,00:00:01.100,00:00:00.54,00:00:02.23,27,111,take knife and plate,take,0,knife,4,"['knife', 'plate']","[4, 2]"
P01_102_1,P01,P01_102,00:00:07.600,00:00:07.49,00:00:09.05,374,452,move spatula and colander,move,11,spatula,20,"['spatula', 'colander']","[20, 39]"
P01_102_10,P01,P01_102,00:00:29.851,00:00:29.66,00:00:30.84,1483,1542,take knife,take,0,knife,4,['knife'],[4]
P01_102_100,P01,P01_102,00:03:44.600,00:03:44.45,00:03:45.00,11222,11250,wipe surface,wipe,2,surface,42,['surface'],[42]
P01_102_101,P01,P01_102,00:03:45.600,00:03:45.61,00:03:46.01,11280,11300,move glass,move,11,glass,10,['glass'],[10]
P01_102_102,P01,P01_102,00:03:46.851,00:03:46.06,00:03:46.56,11303,11328,wipe surface,wipe,2,surface,42,['surface'],[42]
P01_102_103,P01,P01_102,00:03:48.600,00:03:46.71,00:03:47.76,11335,11388,wipe surface,wipe,2,surface,42,['surface'],[42]
P01_102_104,P01,P01_102,00:03:50.100,00:03:48.21,00:03:49.21,11410,11460,wipe surface,wipe,2,surface,42,['surface'],[42]
P01_102_105,P01,P01_102,00:03:51.101,00:03:49.91,00:03:54.30,11495,11715,wipe surface,wipe,2,surface,42,['surface'],[42]
P01_102_106,P01,P01_102,00:03:55.350,00:03:55.22,00:03:55.74,11761,11787,move lid,move,11,lid,6,['lid'],[6]
P01_102_107,P01,P01_102,00:03:57.350,00:03:56.60,00:03:57.60,11830,11880,throw dust into the bin,throw-into,13,dust,54,"['dust', 'bin']","[54, 36]"
P01_102_108,P01,P01_102,00:03:57.851,00:03:57.80,00:03:58.95,11890,11947,wipe hand,wipe,2,hand,11,['hand'],[11]
P01_102_109,P01,P01_102,00:03:59.850,00:03:59.64,00:04:00.35,11982,12017,put down cloth,put-down,1,cloth,17,['cloth'],[17]
P01_102_11,P01,P01_102,00:00:30.850,00:00:30.91,00:00:37.32,1545,1866,wash knife,wash,2,knife,4,['knife'],[4]
P01_102_110,P01,P01_102,00:04:00.850,00:04:00.26,00:04:01.24,12013,12062,pour washing up liquid into hand,pour,9,liquid:washing:up,22,"['liquid:washing:up', 'hand']","[22, 11]"
P01_102_111,P01,P01_102,00:04:01.600,00:04:01.20,00:04:02.20,12060,12110,wash hands,wash,2,hand,11,['hand'],[11]
P01_102_112,P01,P01_102,00:04:02.350,00:04:02.21,00:04:02.81,12110,12140,turn off tap,turn-off,8,tap,0,['tap'],[0]
P01_102_113,P01,P01_102,00:04:03.350,00:04:02.88,00:04:09.79,12144,12489,rinse hands,rinse,2,hand,11,['hand'],[11]
P01_102_114,P01,P01_102,00:04:05.851,00:04:03.55,00:04:09.93,12177,12496,rinse hands,rinse,2,hand,11,['hand'],[11]
P01_102_115,P01,P01_102,00:04:10.102,00:04:10.19,00:04:11.54,12509,12577,turn off tap,turn-off,8,tap,0,['tap'],[0]
P01_102_116,P01,P01_102,00:04:14.350,00:04:13.94,00:04:24.75,12697,13237,take rag,take,0,rag,17,['rag'],[17]
P01_102_117,P01,P01_102,00:04:15.850,00:04:14.69,00:04:21.46,12734,13072,dry hands,dry,14,hand,11,['hand'],[11]
P01_102_118,P01,P01_102,00:04:19.100,00:04:15.60,00:04:21.60,12780,13080,dry hands,dry,14,hand,11,['hand'],[11]
P01_102_119,P01,P01_102,00:04:22.100,00:04:21.70,00:04:22.80,13085,13140,put down rag,put-down,1,rag,17,['rag'],[17]
P01_102_12,P01,P01_102,00:00:37.350,00:00:37.38,00:00:37.80,1869,1889,put down knife,put-down,1,knife,4,['knife'],[4]
P01_102_120,P01,P01_102,00:04:23.602,00:04:23.61,00:04:24.82,13180,13241,take lid,take,0,lid,6,['lid'],[6]
P01_102_121,P01,P01_102,00:04:24.851,00:04:24.00,00:04:25.30,13200,13265,put lid onto container,put-onto,1,lid,6,"['lid', 'container']","[6, 21]"
P01_102_122,P01,P01_102,00:04:27.100,00:04:25.30,00:04:29.37,13265,13468,close lid,close,4,lid,6,['lid'],[6]
P01_102_123,P01,P01_102,00:04:29.101,00:04:29.39,00:04:30.69,13469,13534,take container,take,0,container,21,['container'],[21]
P01_102_124,P01,P01_102,00:04:30.100,00:04:30.05,00:04:31.49,13502,13574,open fridge,open,3,fridge,12,['fridge'],[12]
P01_102_125,P01,P01_102,00:04:31.100,00:04:30.85,00:04:32.10,13542,13605,put container into fridge,put-into,5,container,21,"['container', 'fridge']","[21, 12]"
P01_102_126,P01,P01_102,00:04:32.100,00:04:32.10,00:04:33.05,13605,13652,close fridge,close,4,fridge,12,['fridge'],[12]
P01_102_13,P01,P01_102,00:00:37.850,00:00:37.56,00:00:38.58,1878,1929,take fork,take,0,fork,14,['fork'],[14]
P01_102_14,P01,P01_102,00:00:38.850,00:00:38.54,00:00:41.68,1927,2084,wash fork,wash,2,fork,14,['fork'],[14]
P01_102_15,P01,P01_102,00:00:41.600,00:00:41.73,00:00:42.16,2086,2108,put down fork,put-down,1,fork,14,['fork'],[14]
P01_102_16,P01,P01_102,00:00:42.600,00:00:42.26,00:00:43.40,2113,2170,take plate,take,0,plate,2,['plate'],[2]
P01_102_17,P01,P01_102,00:00:43.350,00:00:43.32,00:00:43.83,2166,2191,turn on tap,turn-on,6,tap,0,['tap'],[0]
P01_102_18,P01,P01_102,00:00:44.350,00:00:43.93,00:00:44.71,2196,2235,turn off tap,turn-off,8,tap,0,['tap'],[0]
P01_102_19,P01,P01_102,00:00:45.600,00:00:45.49,00:00:50.92,2274,2546,wash plate,wash,2,plate,2,['plate'],[2]
P01_102_2,P01,P01_102,00:00:10.350,00:00:09.66,00:00:10.84,483,542,open bin,open,3,bin,36,['bin'],[36]
P01_102_20,P01,P01_102,00:00:51.601,00:00:51.41,00:00:54.30,2570,2715,wash plate,wash,2,plate,2,['plate'],[2]
P01_102_21,P01,P01_102,00:00:54.850,00:00:54.67,00:00:55.40,2733,2770,take knife,take,0,knife,4,['knife'],[4]
P01_102_22,P01,P01_102,00:00:55.100,00:00:55.14,00:00:55.40,2757,2770,put down knife,put-down,1,knife,4,['knife'],[4]
P01_102_23,P01,P01_102,00:00:55.850,00:00:55.45,00:00:56.12,2772,2806,take colander,take,0,colander,39,['colander'],[39]
P01_102_24,P01,P01_102,00:00:56.101,00:00:56.09,00:00:56.64,2804,2832,put down plate,put-down,1,plate,2,['plate'],[2]
P01_102_25,P01,P01_102,00:00:57.600,00:00:57.76,00:01:05.06,2888,3253,wash colander,wash,2,colander,39,['colander'],[39]
P01_102_26,P01,P01_102,00:01:06.101,00:01:05.24,00:01:08.52,3261,3426,wash colander,wash,2,colander,39,['colander'],[39]
P01_102_27,P01,P01_102,00:01:08.100,00:01:08.09,00:01:08.64,3404,3432,put down colander,put-down,1,colander,39,['colander'],[39]
P01_102_28,P01,P01_102,00:01:09.100,00:01:09.22,00:01:10.17,3461,3508,turn on tap,turn-on,6,tap,0,['tap'],[0]
P01_102_29,P01,P01_102,00:01:10.600,00:01:10.19,00:01:11.12,3509,3556,rinse hands,rinse,2,hand,11,['hand'],[11]
P01_102_3,P01,P01_102,00:00:11.600,00:00:11.09,00:00:11.94,554,597,take knife,take,0,knife,4,['knife'],[4]
P01_102_30,P01,P01_102,00:01:11.350,00:01:11.22,00:01:11.83,3561,3591,take spatula,take,0,spatula,20,['spatula'],[20]
P01_102_31,P01,P01_102,00:01:12.100,00:01:12.15,00:01:16.77,3607,3838,rinse spatula,rinse,2,spatula,20,['spatula'],[20]
P01_102_32,P01,P01_102,00:01:20.100,00:01:16.90,00:01:24.32,3845,4216,rinse spatula,rinse,2,spatula,20,['spatula'],[20]
P01_102_33,P01,P01_102,00:01:24.350,00:01:24.49,00:01:25.01,4224,4250,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_102_34,P01,P01_102,00:01:26.101,00:01:25.95,00:01:26.66,4297,4333,take fork,take,0,fork,14,['fork'],[14]
P01_102_35,P01,P01_102,00:01:26.600,00:01:26.22,00:01:28.56,4311,4428,rinse fork,rinse,2,fork,14,['fork'],[14]
P01_102_36,P01,P01_102,00:01:29.350,00:01:30.49,00:01:31.30,4524,4565,take knife,take,0,knife,4,['knife'],[4]
P01_102_37,P01,P01_102,00:01:29.351,00:01:28.74,00:01:29.84,4437,4492,put down fork,put-down,1,fork,14,['fork'],[14]
P01_102_38,P01,P01_102,00:01:30.600,00:01:30.24,00:01:33.49,4512,4674,rinse knife,rinse,2,knife,4,['knife'],[4]
P01_102_39,P01,P01_102,00:01:34.100,00:01:33.59,00:01:34.75,4679,4737,put down knife,put-down,1,knife,4,['knife'],[4]
P01_102_4,P01,P01_102,00:00:12.600,00:00:12.00,00:00:13.00,600,650,move orange skin into the bin,move-into,11,skin:orange,48,"['skin:orange', 'bin']","[48, 36]"
P01_102_40,P01,P01_102,00:01:35.600,00:01:34.85,00:01:36.49,4742,4824,take colander,take,0,colander,39,['colander'],[39]
P01_102_41,P01,P01_102,00:01:36.350,00:01:35.74,00:01:46.14,4787,5307,rinse colander,rinse,2,colander,39,['colander'],[39]
P01_102_42,P01,P01_102,00:01:43.850,00:01:35.81,00:01:47.07,4790,5353,rinse colander,rinse,2,colander,39,['colander'],[39]
P01_102_43,P01,P01_102,00:01:47.600,00:01:47.42,00:01:48.57,5371,5428,turn off tap,turn-off,8,tap,0,['tap'],[0]
P01_102_44,P01,P01_102,00:01:48.100,00:01:50.02,00:01:51.07,5501,5553,adjust tap,adjust,17,tap,0,['tap'],[0]
P01_102_45,P01,P01_102,00:01:49.102,00:01:48.84,00:01:50.19,5442,5509,take plate,take,0,plate,2,['plate'],[2]
P01_102_46,P01,P01_102,00:01:49.850,00:01:51.09,00:01:54.49,5554,5724,rinse plate,rinse,2,plate,2,['plate'],[2]
P01_102_47,P01,P01_102,00:01:50.601,00:01:48.00,00:01:48.57,5400,5428,adjust tap,adjust,17,tap,0,['tap'],[0]
P01_102_48,P01,P01_102,00:01:51.851,00:01:51.13,00:01:52.54,5556,5627,rinse plate,rinse,2,plate,2,['plate'],[2]
P01_102_49,P01,P01_102,00:01:53.351,00:01:52.54,00:01:54.09,5627,5704,rinse plate,rinse,2,plate,2,['plate'],[2]
P01_102_5,P01,P01_102,00:00:13.850,00:00:13.62,00:00:14.78,681,739,put down plate,put-down,1,plate,2,['plate'],[2]
P01_102_50,P01,P01_102,00:01:54.600,00:01:54.19,00:01:54.94,5709,5747,turn off tap,turn-off,8,tap,0,['tap'],[0]
P01_102_51,P01,P01_102,00:01:56.350,00:01:56.34,00:01:57.38,5817,5869,put down plate,put-down,1,plate,2,['plate'],[2]
P01_102_52,P01,P01_102,00:01:59.100,00:01:58.53,00:01:59.34,5926,5967,take wok,take,0,wok,5,['wok'],[5]
P01_102_53,P01,P01_102,00:02:01.350,00:02:00.54,00:02:03.79,6027,6189,pour washing up liquid into wok,pour,9,liquid:washing:up,22,"['liquid:washing:up', 'wok']","[22, 5]"
P01_102_54,P01,P01_102,00:02:04.100,00:02:03.82,00:02:04.17,6191,6208,take sponge,take,0,sponge,9,['sponge'],[9]
P01_102_55,P01,P01_102,00:02:04.350,00:02:04.44,00:02:05.19,6222,6259,put down wok,put-down,1,wok,5,['wok'],[5]
P01_102_56,P01,P01_102,00:02:05.102,00:02:04.82,00:02:15.85,6241,6792,wash wok,wash,2,wok,5,['wok'],[5]
P01_102_57,P01,P01_102,00:02:09.350,00:02:07.00,00:02:23.36,6350,7168,wash wok,wash,2,wok,5,['wok'],[5]
P01_102_58,P01,P01_102,00:02:25.600,00:02:22.89,00:02:29.96,7144,7498,wash wok,wash,2,wok,5,['wok'],[5]
P01_102_59,P01,P01_102,00:02:32.350,00:02:30.30,00:02:34.45,7515,7722,wash wok,wash,2,wok,5,['wok'],[5]
P01_102_6,P01,P01_102,00:00:15.600,00:00:15.10,00:00:15.63,755,781,close bin,close,4,bin,36,['bin'],[36]
P01_102_60,P01,P01_102,00:02:34.600,00:02:34.48,00:02:35.39,7723,7769,put down wok,put-down,1,wok,5,['wok'],[5]
P01_102_61,P01,P01_102,00:02:35.850,00:02:35.76,00:02:36.50,7788,7825,turn on tap,turn-on,6,tap,0,['tap'],[0]
P01_102_62,P01,P01_102,00:02:36.850,00:02:36.53,00:02:37.47,7826,7873,rinse hands,rinse,2,hand,11,['hand'],[11]
P01_102_63,P01,P01_102,00:02:38.100,00:02:37.55,00:02:41.58,7877,8078,rinse wok,rinse,2,wok,5,['wok'],[5]
P01_102_64,P01,P01_102,00:02:41.851,00:02:41.57,00:02:42.40,8078,8120,take sponge,take,0,sponge,9,['sponge'],[9]
P01_102_65,P01,P01_102,00:02:42.350,00:02:42.25,00:02:48.86,8112,8443,rinse wok,rinse,2,wok,5,['wok'],[5]
P01_102_66,P01,P01_102,00:02:50.850,00:02:48.32,00:02:54.05,8416,8702,rinse wok,rinse,2,wok,5,['wok'],[5]
P01_102_67,P01,P01_102,00:02:53.850,00:02:53.30,00:02:54.25,8665,8712,put down sponge,put-down,1,sponge,9,['sponge'],[9]
P01_102_68,P01,P01_102,00:02:54.101,00:02:53.98,00:02:54.75,8699,8737,empty wok,empty,20,wok,5,['wok'],[5]
P01_102_69,P01,P01_102,00:02:55.100,00:02:54.30,00:03:01.11,8715,9055,rinse wok,rinse,2,wok,5,['wok'],[5]
P01_102_7,P01,P01_102,00:00:16.600,00:00:16.19,00:00:16.67,809,833,take sponge,take,0,sponge,9,['sponge'],[9]
P01_102_70,P01,P01_102,00:03:02.100,00:03:01.90,00:03:04.25,9095,9212,put down wok,put-down,1,wok,5,['wok'],[5]
P01_102_71,P01,P01_102,00:03:03.350,00:03:03.10,00:03:03.70,9155,9185,take cloth,take,0,cloth,17,['cloth'],[17]
P01_102_72,P01,P01_102,00:03:04.850,00:03:03.90,00:03:06.77,9195,9338,rinse cloth,rinse,2,cloth,17,['cloth'],[17]
P01_102_73,P01,P01_102,00:03:07.350,00:03:06.90,00:03:09.10,9345,9455,wipe sink,wipe,2,sink,63,['sink'],[63]
P01_102_74,P01,P01_102,00:03:09.352,00:03:09.25,00:03:10.23,9462,9511,rinse cloth,rinse,2,cloth,17,['cloth'],[17]
P01_102_75,P01,P01_102,00:03:10.600,00:03:10.30,00:03:14.56,9515,9728,wipe sink,wipe,2,sink,63,['sink'],[63]
P01_102_76,P01,P01_102,00:03:12.850,00:03:16.79,00:03:18.65,9839,9932,rinse cloth,rinse,2,cloth,17,['cloth'],[17]
